,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
289,SSS0292,18,No,speakers from computer,essentially my whole life but seriously from 10-15,English,There were clear wrong notes which made the broken chords sound off,,,SONA for course credit,,No,Female,"Starting from the middle of block 7, I loosened my attention on the individual notes and paid more attention to the general progression (eg. lo-hi-lo)",7,4-5,"Yes, but not so well","guitar, piano",Strongly Agree,Strongly Agree,none,2020-10-13 15:36:45,39961
290,SSS0293,19,No,in-ear,8-10,English,,,,SONA for course credit,,No,Female,listened to beat more and high pitched noises,6,2-3,"Yes, but not so well",piano,Strongly Agree,Strongly Disagree,I tried to use my fingers to follow the motion of the keys and I often nodded through the melody.,2020-10-16 01:25:34,40182
291,SSS0294,,No,headphones in-ear,16,English,pitches,,,SONA for course credit,,Yes,Female,,5,2-3,"Yes, but not so well",piano,Agree,Neither Agree nor Disagree,focused hard,2020-10-03 22:02:11,40034
292,SSS0295,20,Yes,Over the ear Beats Solos,,English,I tried to focus on the pitch differences in the notes of the option 1 & 2 melodies compared to the test melody. ,,,SONA for course credit,,Yes,Female,,6,0,No,,Strongly Agree,Disagree,I focused on the general pitches in the test melody and listened for differences,2020-10-06 20:52:30,40033
293,SSS0296,17,No,in-ear headphones ,,Spanish,"the pitch of notes, sometimes the change would be one note going higher or lower",,,SONA for course credit,,Yes,Female,,5,0,"Yes, I do alright","clarinet, trombone, violin",Strongly Agree,Agree,i paid attention to the pitch and length of the melodies ,2020-10-06 19:46:51,39646
294,SSS0297,19,No,in-ear,from 7 years old ,Other (please specify below):,if the melodies progressed towards higher or lower octaves i would notice the difference more,,,SONA for course credit,Mandarin ,No,Female,,7,6-8,"Yes, but not so well",piano and guitar ,Agree,Neither Agree nor Disagree,intuition,2020-10-07 05:53:11,38615
295,SSS0298,18,Yes,in-ear headphones,,English,sometimes the notes would change and be either higher or lower which changed the mood of the melody,,,SONA for course credit,,Yes,Male,at first i tried to detect slight differences in the melody then later I tried to use an emotional gauge,5,0,"Yes, but not so well",guitar,Agree,Disagree,tried using how each sound made me feel in order to detect the differences- emotional gauge,2020-10-06 19:42:43,40069
296,SSS0299,,,,,,,,,,,,,,,,,,,,,2021-04-03 17:11:20,37783
297,SSS0300,18,No,headphones,,Spanish,closing my eyes helped me identify differences faster such as different pitches etc.,,,SONA for course credit,,Yes,Female,i changed it around the 4th block maybe. ,5,0,"Yes, but not so well",piano,Strongly Agree,Disagree,closed my eyes,2020-10-17 11:35:52,39858
298,SSS0301,19,No,yes ear,4-present,English,which notes were different,,Unknown,SONA for course credit,,Yes,Female,,10,9+,"Yes, I am a professional",piano,Strongly Agree,Disagree,which notes were different,2020-09-24 13:38:04,39588
299,SSS0302,20,No,airpods,6-20,English,semitones and whole tones,,,SONA for course credit,,Yes,Female,,10,9+,"Yes, I am near professional","Clarinet, Viola",Strongly Agree,Agree,I listened for any semitones or whole tones that stuck out in an odd way,2020-10-21 08:36:02,38345
300,SSS0303,18,No,beats 9 over the ear noise canceling headphones ,11-16,English,i heard very distinct key shifts,,,SONA for course credit,,Yes,Female,,7,4-5,"Yes, I do alright","violin, piano, ukulele ",Agree,Neither Agree nor Disagree,"listened to shifting keys, how long it was, what notes changed",2020-10-06 20:40:31,39787
301,SSS0304,20,No,speakers,11-13,English,"any deviation from the melody, i tried to pick up on",,,SONA for course credit,,Yes,Female,,7,2-3,"Yes, but not so well",used to play piano and flute,Strongly Agree,Disagree,any inconsistencies in the notes or extra beats.,2020-10-06 20:27:44,40047
302,SSS0305,19,Yes,Over-the-ear headphones,11-17,English,"I tried to listen to intervals that weren't familiar, showing a change",,,SONA for course credit,,Yes,Male,"Some melodies had the same intervals at different times, so I had to try and remember the order they occured in",8,6-8,"Yes, I do alright",French Horn,Strongly Agree,Agree,Pitch matching and intervals,2020-10-04 14:57:02,39789
303,SSS0306,19,No,in-ear,,English,certain notes would be way higher than the original test,,Unknown,SONA for course credit,,Yes,Male,,2,0,No,,Strongly Agree,Agree,measuring consistency,2020-09-30 18:15:16,39909
304,SSS0307,17,No,over-the-ear headphones,7-15,English,I noticed the change between minor and major keys,,,SONA for course credit,,Yes,Female,,7,2-3,"Yes, but not so well",violin,Strongly Agree,Strongly Disagree,,2020-10-04 17:18:56,39966
305,SSS0308,20,No,In ear air pods,12-18,English,,,,SONA for course credit,,No,Male,,4,4-5,"Yes, but not so well",Harmonica Ukulele,Strongly Agree,Agree,N/a,2020-10-04 17:48:55,37132
306,SSS0309,18,No,in-ear headphones. airpod 2nd generation.,6-7,English,I noticed the changes in the pitches or notes of the melodies,,,SONA for course credit,,Yes,Female,,2,1,No,none,Strongly Agree,Strongly Disagree,low notes or high notes used.,2020-10-04 19:17:30,39496
307,SSS0310,18,No,"In-ear, Airpods second generation",,English,I noticed similar notes or how the melodies ended. ,,,SONA for course credit,,Yes,Female,,2,0,No,,Agree,Disagree,I tried to identify similar patterns in the melodies. ,2020-10-13 19:08:18,39472
308,SSS0311,19,No,Over the ear headphones,8,English,,,,SONA for course credit,chinese,No,Male,,3,0,No,piano,Strongly Agree,Agree,,2020-10-06 21:07:29,39964
309,SSS0312,20,Yes,"Earbuds, Apple.",age 4-17,English,"Sometimes a note was off key, which made it easier. Sometimes there were particular patterns of up-down-up-down or something similar.",,,SONA for course credit,chinese,Yes,Female,"After the first block, I started separating the melodies into two halves, which made it easier to discriminate which one was different. I also began to pretend I was listening to a song where the melody was supposed to repeat, and paid attention to the moments it didn't (i.e. the first option differed).",9,9+,"Yes, I am near professional",piano,Agree,Agree,I listened for either very outlying notes or paid attention to how many notes up and down there were.,2020-10-04 21:40:58,38123
310,SSS0313,20,No,headphones,,English,dips or rises in pitch/tones,,,SONA for course credit,,Yes,Female,,5,0,No,,Agree,Strongly Agree,which one had the most dips in pitch,2020-10-04 23:48:14,36393
311,SSS0314,19,No,headphones over the ear,10-13,Other (please specify below):,,,,SONA for course credit,Polish,No,Male,,3,2-3,"Yes, but not so well",trumpet and trombone,Strongly Disagree,Neither Agree nor Disagree,the beat,2020-09-30 21:12:27,39784
312,SSS0315,19,No,air pod pros,,English,the variations,,,SONA for course credit,,Yes,Female,,2,0,No,,Agree,Neither Agree nor Disagree,"beginning and end notes, as well as attention to the two sections of variations",2020-09-24 14:40:48,39547
313,SSS0316,21,No,"in-ear headphone, Apple Airpods","5-7, 11-13",English,Sometimes I counted how many times the music went high and low.,,Unknown,SONA for course credit,,No,Female,,6,0,No,Used to play piano and flute,Strongly Agree,Strongly Agree,Just tried to memorize the notes in order,2020-09-30 20:02:32,37397
314,SSS0317,19,Yes,airpod pro,9-14,English,,,,SONA for course credit,,No,Female,focused more on melody as i went,6,4-5,"Yes, I do alright",piano,Strongly Agree,Strongly Agree,sharps and flats,2020-09-30 18:17:30,39807
315,SSS0318,21,No,macbook air 13 inch 2013 speakers,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,3,0,No,,Strongly Agree,Strongly Agree,,2020-10-01 01:07:43,36146
316,SSS0319,19,Yes,over-the-ear studio headphones,10-18,Other (please specify below):,I noticed that the ones with the highest note changed were the most obvious ones,,,SONA for course credit,turkish,Yes,Female,at first I payed attention to the major/minor feels but then as the melodies became closer I switched to paying attention to the high notes ,7,6-8,"Yes, I am a professional",violin,Agree,Neither Agree nor Disagree,paying attention to the beginning and ending notes and the general feel of minor/major directions,2020-10-06 21:28:32,39660
317,SSS0320,19,No,"in ear earphones, earbuds for samsung phone",5th grade-high school ,English,the middle of the melodies changed while the ends didnt,,,SONA for course credit,,Yes,Female,,5,4-5,"Yes, I do alright","piano, violin",Agree,Neither Agree nor Disagree,listen to the middle of the melodies,2020-10-06 21:27:08,37204
318,SSS0321,19,Yes,over the ear headphones,6-13,English,reaching really high vs low notes or notes that sounded off from the melody,,,SONA for course credit,,Yes,Female,answered above,7,6-8,"Yes, I do alright",piano,Agree,Agree,"at first none, then differentiated between what was pleasing to hear vs not",2020-10-06 21:27:15,39647
319,SSS0322,19,No,yes airpod earphones,11-16,English,,,,SONA for course credit,,No,Female,,6,4-5,"Yes, but not so well",piano,Agree,Agree,just listening and humming along,2020-09-24 20:39:15,40070
320,SSS0324,19,No,Headphones for video games.,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,6,0,No,,Strongly Agree,Agree,numbers/patterns,2020-10-06 23:11:53,38798
321,SSS0325,18,No,"Yes, I used in-ear headphones (AirPods)",5-12,English,I felt that some notes changed,,Unknown,SONA for course credit,,Yes,Female,,5,6-8,"Yes, but not so well",violin,Strongly Agree,Strongly Agree,I just tried to listen closely ,2020-09-24 22:33:37,39879
322,SSS0326,18,No,AirPods,10-15,English,,,,SONA for course credit,,No,Female,,4,2-3,"Yes, but not so well","guitar, piano",Strongly Agree,Agree,None,2020-09-30 18:53:15,40176
323,SSS0327,18,No,AirPods,12,English,The highest and lowest pitches,,,SONA for course credit,,Yes,Female,,0,0,No,Guitar,Strongly Agree,Neither Agree nor Disagree,"the endings, how they made me feel, if there were any sharp sounding notes",2020-10-06 23:24:11,39531
324,SSS0328,18,No,In-ear Apple headphones,,English,"If a certain key in one melody went higher than the test melody, I noticed the inherent difference",,,SONA for course credit,,Yes,Female,,2,0,No,,Strongly Agree,Strongly Agree,Tapping my finger against the keyboard to see if there was a changed pattern.,2020-09-30 19:24:34,40025
325,SSS0329,19,No,,13-15,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,2,2-3,"Yes, but not so well",Drum,Strongly Agree,Strongly Disagree,,2020-09-25 06:09:29,39614
326,SSS0331,18,No,in ear,6-16,English,sharp and flat notes,,,SONA for course credit,,Yes,Female,"2, started looking for the smaller changes",8,9+,"Yes, I do alright",piano,Strongly Agree,Strongly Disagree,cadence and pitch,2020-10-06 23:05:30,37835
327,SSS0332,18,No,in ear,12-15,English,,,,SONA for course credit,,No,Male,,4,4-5,"Yes, but not so well",guitar,Strongly Agree,Strongly Agree,"flats, sharps, keys, etc",2020-10-13 17:26:03,39749
328,SSS0333,18,No,In-ear headphones,10,Spanish,,,,SONA for course credit,,No,Female,,6,2-3,"Yes, I do alright",Piano ,Strongly Agree,Strongly Agree,I would take particular interest in the beginning in the end as well as how high or how low the notes would go. ,2020-09-30 20:48:04,40073
329,SSS0334,20,No,earphones,5-10,English,Sometimes there would be notes that didn't fit and sounded offkey,,Unknown,SONA for course credit,,No,Female,,5,4-5,"Yes, I do alright","tabla, paino",Strongly Agree,Agree,i used my fingers to picture what the main tune sounded like and tried to match the same pattern,2020-10-01 11:28:57,39333
330,SSS0335,18,No,in-ear earphones (airpods),8-12,English,the change in certain notes differentiated the melodies,,Unknown,SONA for course credit,,Yes,Female,,8,4-5,"Yes, I do alright","viola, piano, flute",Strongly Agree,Strongly Disagree,"pitch, note change",2020-09-25 11:59:11,39604
331,SSS0336,21,No,"in-ear earphones, Airpods",9 - 14,English,,,,SONA for course credit,,No,Female,,5,4-5,"Yes, I do alright",Cello,Strongly Agree,Disagree,The different in the keys or tone of the different melodies,2020-09-25 12:36:05,39492
332,SSS0337,21,No,,5-11,Other (please specify below):,,,,SONA for course credit,chinese,No,Female,,6,6-8,"Yes, I do alright",piano,Agree,Disagree,,2020-09-25 12:26:51,40213
333,SSS0338,18,No,Both.  In the beginning I had headphones on and for the second half of it I took them off.,,English,Beats changed,,,SONA for course credit,,Yes,Female,,5,0,No,,Strongly Agree,Neither Agree nor Disagree,I repeated the melody in my head,2020-10-01 00:58:08,39596
334,SSS0339,20,No,In ear headphones (the ones that Apple sells),,English,The pitch of certain notes,,Unknown,SONA for course credit,,Yes,Female,,7,0,"Yes, but not so well",Guitar,Strongly Agree,Neither Agree nor Disagree,,2020-09-25 13:20:34,39628
335,SSS0340,21,No,in-ear earphones,5-10,Other (please specify below):,tone change ,,,SONA for course credit,chinese,Yes,Female,,2,4-5,"Yes, but not so well",zither,Strongly Agree,Agree,listening to tone change,2020-09-25 12:56:58,37066
336,SSS0341,21,No,In ear earphones (airpods first generation),,English,,,,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Strongly Disagree,i tried marking when the notes went up or down with my hands ,2020-09-25 14:12:47,37065
337,SSS0342,20,No,In ear earphones,~14-15,Other (please specify below):,I noticed some changes in pitch and tone,,,SONA for course credit,Korean,Yes,Male,,0,1,"Yes, but not so well","drums, flute (but forgot), piano (but forgot)",Strongly Agree,Neither Agree nor Disagree,changes in tone/pitch.,2020-10-06 23:31:27,39843
338,SSS0343,20,No,"in-ear, airpod earphones",5-13,Other (please specify below):,I noticed that the option melodies would mostly be similar to the test with one or two notes being higher/lower or a different note,,,SONA for course credit,"I learned Arabic, French and English at the same time",Yes,Female,,6,4-5,"Yes, but not so well",Piano,Strongly Agree,Disagree,I kind of tired to just keep the first melody in my head and just 'feel' if there was something off ,2020-09-30 23:54:15,39870
339,SSS0344,21,Yes,Over-the-ear headphones,14,Other (please specify below):,"I really took notice when there was a sudden, out of place, tone change or when it sounded like someone suddenly smashed the keys on the piano",,Unknown,SONA for course credit,French,Yes,Female,"I think around block 4 my strategy changed to incorporate things like how the original melody made me feel compared to the others (if it made me feel about the same, I assumed that one was most similar)",7,2-3,No,Piano,Strongly Agree,Strongly Disagree,"I tried to picture a scene with it, and if the melody differentiated from the original scene, I said it was different",2020-10-20 19:56:50,35395
340,SSS0346,19,No,Airpods 2019,13-18,English,,,,SONA for course credit,,No,Female,,4,6-8,"Yes, but not so well",Violin,Strongly Agree,Strongly Agree,Identify patterns and try to see where there was a shift from low to high pitches,2020-09-25 17:39:52,39510
341,SSS0347,20,No,Headphones,10-18,English,different notes we replaced between the test and comparison melodies,,Unknown,SONA for course credit,,Yes,Male,,8,6-8,"Yes, I do alright","Guitar, Piano, Bass",Strongly Agree,Agree,repeating in head,2020-09-25 17:48:18,39764
342,SSS0348,21,No,"in-ear, apple airpods, ",8-9 years old,Other (please specify below):,some of them have one single note suddenly higher or lower than the tested melody. Some added a bit extra notes.,,,SONA for course credit,Mandarin,Yes,Male,Paying attention to the middle notes,5,0,No,,Agree,Agree,Hearing the arch or stream of that melody and try to compare with the latter two. Trying to focus on bizarre or strange composition parts.,2020-10-06 23:42:22,39541
